Symbol	RAPdb	MSU	Keyword	Title	path
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	nitrogen	Rice Ferredoxin-Dependent Glutamate Synthase Regulates Nitrogen-Carbon Metabolomes and Is Genetically Differentiated between japonica and indica Subspecies	data/Gene/Abstract/A/ABC1
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	nitrogen	The ferredoxin-dependent glutamate synthase (OsFd-GOGAT) participates in leaf senescence and the nitrogen remobilization in rice.	data/Gene/Abstract/A/ABC1
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	nitrogen	The ferredoxin-dependent glutamate synthase (OsFd-GOGAT) participates in leaf senescence and the nitrogen remobilization in rice.	data/Gene/Abstract/A/ABC1
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	leaf	The ferredoxin-dependent glutamate synthase (OsFd-GOGAT) participates in leaf senescence and the nitrogen remobilization in rice.	data/Gene/Abstract/A/ABC1
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	leaf senescence	The ferredoxin-dependent glutamate synthase (OsFd-GOGAT) participates in leaf senescence and the nitrogen remobilization in rice.	data/Gene/Abstract/A/ABC1
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	leaf	Isolation and characterization of a spotted leaf 32 mutant with early leaf senescence and enhanced defense response in rice.	data/Gene/Abstract/A/ABC1
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	leaf senescence	Isolation and characterization of a spotted leaf 32 mutant with early leaf senescence and enhanced defense response in rice.	data/Gene/Abstract/A/ABC1
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	transcription factor	Isolation and characterization of a spotted leaf 32 mutant with early leaf senescence and enhanced defense response in rice.	data/Gene/Abstract/A/ABC1
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	early leaf senescence	Isolation and characterization of a spotted leaf 32 mutant with early leaf senescence and enhanced defense response in rice.	data/Gene/Abstract/A/ABC1
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	nitrogen	ES7, encoding a ferredoxin-dependent glutamate synthase, functions in nitrogen metabolism and impacts leaf senescence in rice	data/Gene/Abstract/A/ABC1
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	nitrogen	ES7, encoding a ferredoxin-dependent glutamate synthase, functions in nitrogen metabolism and impacts leaf senescence in rice	data/Gene/Abstract/A/ABC1
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	nitrogen	ES7, encoding a ferredoxin-dependent glutamate synthase, functions in nitrogen metabolism and impacts leaf senescence in rice	data/Gene/Abstract/A/ABC1
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	leaf	ES7, encoding a ferredoxin-dependent glutamate synthase, functions in nitrogen metabolism and impacts leaf senescence in rice	data/Gene/Abstract/A/ABC1
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460	leaf senescence	ES7, encoding a ferredoxin-dependent glutamate synthase, functions in nitrogen metabolism and impacts leaf senescence in rice	data/Gene/Abstract/A/ABC1
